sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
2573,10.854930875576036,502.30005,989.08167,600.5366,866.12103,2341.1890726971774,1228.3697047136504,1861.1787032136135,783.2274475806483
2573,10.955069124423963,494.91187,983.75653,592.9844,863.4576,2332.988456594813,1233.5341822573596,1857.0860911151776,786.7974286804464
2573,11.05520737327189,487.66864,978.4542,585.5461,860.76117,2324.7731590021895,1238.6350960066393,1852.9754649404267,790.3510351571725
2573,11.155345622119816,480.5677,973.1745,578.2202,858.0341,2316.5441436467636,1243.6722318096383,1848.8471922734686,793.8877116469681
2573,11.25548387096774,473.6052,967.9198,571.0052,855.27826,2308.302363478355,1248.6454054783146,1844.7016401995336,797.4069258349257
2573,11.355622119815667,466.77808,962.6902,563.89966,852.495,2300.0487605238927,1253.554461678379,1840.5391751983448,800.908167604981
2573,11.455760368663594,460.0834,957.4868,556.90137,849.6866,2291.784265752419,1258.399272861981,1836.3601630413325,804.390948231024
2573,11.55589861751152,453.5183,952.3098,550.00903,846.8541,2283.5097989500914,1263.1797382408158,1832.1649686925327,807.8547996067107
2573,11.656036866359447,447.07968,947.16046,543.2213,844.00024,2275.226268604871,1267.8957827974755,1827.9539562130099,811.2992735116394
2573,11.756175115207373,440.76425,942.03937,536.5359,841.1262,2266.9345718006575,1272.5473563330427,1823.7274886686641,814.7239409117132
2573,11.8563133640553,434.56924,936.9481,529.9518,838.234,2258.6355941205707,1277.1344325490452,1819.485928041283,818.1283912916576
2573,11.956451612903225,428.4924,931.88574,523.46765,835.3228,2250.330209559152,1281.6570081620368,1815.2296351427256,821.5122320178067
2573,12.056589861751151,422.53027,926.8541,517.08105,832.398,2242.0192804432104,1286.115102049179,1810.958969532108,824.875087729387
2573,12.156728110599078,416.68124,921.85175,510.79132,829.45746,2233.703657361075,1290.50875442331,1806.6742894358983,828.2165997566632
2573,12.256866359447004,410.9416,916.8816,504.59653,826.5048,2225.3841791000077,1294.8380260360925,1802.3759516708071,831.5364255644023
2573,12.35700460829493,405.30966,911.9424,498.49527,823.53937,2217.061672591551,1299.1029974079297,1798.0643115693922,834.8342382192241
2573,12.457142857142857,399.78302,907.0344,492.48593,820.5637,2208.736952864559,1303.3037680834068,1793.739722908278,838.1097258794988
2573,12.557281105990782,394.35876,902.159,486.56723,817.5791,2200.410823005696,1307.4404559111222,1789.4025378389151,841.3625913065356
2573,12.657419354838709,389.03503,897.31537,480.73743,814.5859,2192.084074127185,1311.513196346824,1785.053106820803,844.5925513958919
2573,12.757557603686635,383.80893,892.5047,474.9951,811.5857,2183.757485341566,1315.5221417788523,1780.691778557093,847.7993367277041
2573,12.857695852534562,378.67902,887.7264,469.3393,808.5788,2175.4318237432676,1319.467460874937,1776.3188999325187,850.9826911350145
2573,12.957834101382488,373.64273,882.981,463.7683,805.5671,2167.107844396774,1323.349337949472,1771.934815953573,854.1423712891295
2573,13.057972350230415,368.6981,878.26874,458.28052,802.5514,2158.7862903311693,1327.1679723504315,1767.5398696908842,857.2781463011092
2573,13.158110599078341,363.8433,873.58923,452.87488,799.53235,2150.4678925408675,1330.9235778651519,1763.1344022237176,860.3897973385416
2573,13.258248847926266,359.0761,868.94324,447.55038,796.5102,2142.1533699923175,1334.6163821442422,1758.7187525865675,863.4771172568073
2573,13.358387096774193,354.39438,864.33044,442.30475,793.48663,2133.843429636491,1338.2466261429365,1754.2932577177642,866.5399102440934
2573,13.45852534562212,349.79672,859.75055,437.13727,790.4627,2125.5387664269497,1341.8145635792337,1749.858252410065,869.5779914794526
2573,13.558663594470046,345.28064,855.2049,432.04672,787.4388,2117.240063343311,1345.3204604082139,1745.4140692631704,872.5911868032566
2573,13.658801843317972,340.84494,850.6921,427.03183,784.41486,2108.9479914199114,1348.7645943119542,1740.9610386381214,875.5793323994218
2573,13.758940092165899,336.48737,846.21265,422.091,781.3927,2100.6632097794923,1352.1472542044935,1736.499488613538,878.5422744888319
2573,13.859078341013824,332.20642,841.76685,417.22296,778.37286,2092.386365671721,1355.4687397513317,1732.0297449436525,881.479869033409
2573,13.95921658986175,328.0009,837.35406,412.4269,775.3558,2084.118094516367,1358.7293609029732,1727.5521310180957,884.3919814503213
2573,14.059354838709677,323.868,832.9748,407.70145,772.3419,2075.859019950961,1361.929437442052,1723.0669678234046,887.2784863358438
2573,14.159493087557603,319.80756,828.6281,403.04556,769.3313,2067.6097538827585,1365.0692985435926,1718.5745739062043,890.1392671984206
2573,14.25963133640553,315.81732,824.31476,398.45807,766.32526,2059.3708965448436,1368.1492823480012,1714.0752653380318,892.9742162004936
2573,14.359769585253456,311.89566,820.03436,393.93762,763.3246,2051.1430365562055,1371.169735546374,1709.56935568177,895.7832339087028
2573,14.459907834101383,308.04086,815.7873,389.48282,760.32947,2042.9267509856159,1374.1310129777612,1705.0571559596485,898.5662290520705
2573,14.560046082949308,304.2523,811.5723,385.09323,757.3401,2034.7226054191592,1377.0334772380108,1700.538974622786,901.3231182878144
2573,14.660184331797234,300.5281,807.39014,380.76746,754.3572,2026.5311540312496,1379.877498299861,1696.015117522239,904.0538259744503
2573,14.76032258064516,296.86725,803.2403,376.50452,751.381,2018.3529396589813,1382.6634531439493,1691.4858878815237,906.7582839518653
