source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Ldv,re_encoded_Cdv,re_encoded_Rav
Cbv,0.07594936,0.29840901,0.079375565,0.29909825,0.013173551,-0.06213699,0.18976898
Cbv,0.12658228,0.30101746,0.12561761,0.294955,0.018444333,-0.062431473,0.18757915
Cbv,0.17721519,0.30491826,0.17198582,0.29176083,0.02528246,-0.061642207,0.18593381
Cbv,0.2278481,0.30985594,0.2185352,0.28964102,0.033211105,-0.059939876,0.18486457
Cbv,0.278481,0.31544322,0.26536322,0.28865436,0.041621644,-0.057564862,0.1843506
Cbv,0.32911393,0.32123417,0.31260115,0.2888078,0.049868915,-0.054794192,0.18432616
Cbv,0.37974682,0.32682645,0.3603974,0.29003155,0.057294317,-0.05191022,0.18468218
Cbv,0.43037975,0.33192596,0.4088895,0.29221836,0.06335662,-0.049164664,0.18533847
Cbv,0.48101267,0.33640417,0.45817938,0.29521814,0.06767162,-0.046757806,0.18623231
Cbv,0.5316456,0.34031367,0.5083103,0.29885167,0.070083775,-0.04482504,0.18732487
Cbv,0.5822785,0.34386653,0.55924875,0.3029343,0.07070759,-0.043424558,0.18863739
Cbv,0.6329114,0.34740123,0.6108736,0.30728114,0.069939286,-0.04254073,0.19022238
Cbv,0.6835443,0.35132593,0.662966,0.31171107,0.06842649,-0.042085655,0.1921902
Cbv,0.73417723,0.35605034,0.71520877,0.31604272,0.0670051,-0.041903965,0.19464713
Cbv,0.7848101,0.36188143,0.7671947,0.32011068,0.06661541,-0.041776597,0.197746
Cbv,0.835443,0.36893043,0.818462,0.32372236,0.068084925,-0.041439243,0.2015454
Cbv,0.886076,0.3769742,0.8685581,0.32667917,0.07197423,-0.04060305,0.20605424
Cbv,0.93670887,0.38538536,0.91713786,0.32873583,0.07828932,-0.039011933,0.21110694
Cbv,0.98734176,0.39312875,0.96406686,0.32964367,0.08632976,-0.036528468,0.21636568
Cbv,1.0379747,0.39891773,1.0094807,0.32921028,0.09464214,-0.033240102,0.22132896
Cbv,1.0886075,0.40151381,1.0537485,0.32742283,0.10129439,-0.029501706,0.22547708
Cbv,1.1392405,0.40010595,1.0973371,0.32442105,0.10428454,-0.025859654,0.22823587
Cbv,1.1898735,0.39459613,1.1406399,0.3204361,0.10216535,-0.022821411,0.22911988
Cbv,1.2405063,0.38564366,1.183862,0.31562632,0.09437592,-0.020631716,0.22775823
Cbv,1.2911392,0.3743985,1.2270038,0.30996862,0.08115849,-0.01919847,0.22388543
Cbv,1.3417722,0.3620755,1.2699138,0.3032842,0.06324163,-0.018193983,0.21740776
Cbv,1.392405,0.3496064,1.3123696,0.29534692,0.04148728,-0.017230079,0.20838968
Cbv,1.443038,0.3374958,1.3541474,0.2859705,0.016626298,-0.01600308,0.19704194
Cbv,1.493671,0.3258678,1.3950576,0.27506936,-0.010784543,-0.014353156,0.18363975
Cbv,1.5443038,0.31458986,1.4349552,0.26267684,-0.04034816,-0.01225923,0.16851851
Cbv,1.5949367,0.303407,1.4737374,0.24891387,-0.07177869,-0.009801559,0.15198535
Cbv,1.6455696,0.29204422,1.5113333,0.23396589,-0.10484769,-0.007122606,0.13434379
Cbv,1.6962025,0.28026295,1.547694,0.21805923,-0.13934213,-0.0043875948,0.11587551
Cbv,1.7468355,0.2678861,1.5827881,0.20140933,-0.17509416,-0.0017705113,0.09682311
Cbv,1.7974683,0.25480196,1.6165974,0.18421552,-0.21195027,0.0005623698,0.077401206
Cbv,1.8481013,0.24095418,1.6491135,0.16666232,-0.24973744,0.002462007,0.057817742
Cbv,1.8987342,0.2263315,1.6803421,0.1488971,-0.28829476,0.0037990957,0.038253218
Cbv,1.949367,0.21095581,1.7102972,0.13103777,-0.3274438,0.004468523,0.018868187
Cbv,2.0,0.19487156,1.7390057,0.11317812,-0.36698785,0.004394792,-0.00020923093
Rdv,-2.0,0.30315235,0.2392149,-1.9525574,0.2607468,0.023001082,0.49322432
Rdv,-1.949367,0.3103176,0.23831849,-1.9070563,0.29065466,0.017818324,0.4498454
Rdv,-1.8987342,0.31878754,0.23852341,-1.8603573,0.31738603,0.013639696,0.41935235
Rdv,-1.8481013,0.32801214,0.23991653,-1.8128047,0.33621582,0.009621471,0.39643234
Rdv,-1.7974683,0.33755174,0.2423645,-1.7641884,0.345433,0.0053706095,0.37759447
Rdv,-1.7468355,0.34699437,0.24559397,-1.7139693,0.3460179,0.0008137673,0.3610847
Rdv,-1.6962025,0.35593653,0.24926403,-1.6615725,0.34059224,-0.003948264,0.34626496
Rdv,-1.6455696,0.3640159,0.25300616,-1.6066109,0.3318003,-0.008750632,0.33282375
Rdv,-1.5949367,0.37094453,0.2564543,-1.5489731,0.32052788,-0.013438687,0.31982988
Rdv,-1.5443038,0.37654513,0.25927204,-1.4888022,0.30498308,-0.017895363,0.305336
Rdv,-1.493671,0.38075772,0.26120186,-1.4264442,0.2813504,-0.022042312,0.28672197
Rdv,-1.443038,0.38362214,0.26209718,-1.3624121,0.24611318,-0.025813632,0.26208764
Rdv,-1.392405,0.38525614,0.26194426,-1.2973627,0.19814698,-0.029159985,0.23139873
Rdv,-1.3417722,0.38582647,0.26083508,-1.2320528,0.13965224,-0.032044724,0.19686776
Rdv,-1.2911392,0.3855299,0.2589328,-1.1672485,0.07525771,-0.034456313,0.1620688
Rdv,-1.2405063,0.38457665,0.25642756,-1.1036153,0.010612293,-0.036396816,0.13076296
Rdv,-1.1898735,0.38317353,0.25351635,-1.0416229,-0.049251836,-0.03788577,0.105606675
Rdv,-1.1392405,0.38150525,0.2503829,-0.98150665,-0.10049783,-0.038948283,0.08793281
Rdv,-1.0886075,0.37971735,0.24719523,-0.9232862,-0.1408232,-0.03962878,0.077796414
Rdv,-1.0379747,0.377906,0.24409884,-0.8668206,-0.16908185,-0.039987847,0.07449951
Rdv,-0.98734176,0.37611237,0.2412185,-0.81187636,-0.18513012,-0.040109865,0.076948926
Rdv,-0.93670887,0.37432593,0.23865603,-0.7581882,-0.18952934,-0.040098585,0.08390877
Rdv,-0.886076,0.37249693,0.23648797,-0.705502,-0.18328886,-0.040064424,0.09420794
Rdv,-0.835443,0.37054792,0.23476447,-0.65360916,-0.16779497,-0.040114656,0.10672933
Rdv,-0.7848101,0.3683931,0.23350802,-0.6023684,-0.14480951,-0.040342987,0.12040882
Rdv,-0.73417723,0.36595643,0.23271209,-0.5517108,-0.11630777,-0.040816166,0.13425125
Rdv,-0.6835443,0.36318833,0.23234075,-0.5016369,-0.084398225,-0.041566722,0.14737785
Rdv,-0.6329114,0.36007106,0.23233257,-0.452205,-0.051291615,-0.042595685,0.15902083
Rdv,-0.5822785,0.35662764,0.23260483,-0.4035023,-0.019056479,-0.04387019,0.16861795
Rdv,-0.5316456,0.35291937,0.23306164,-0.35562247,0.010445274,-0.04533613,0.17581548
Rdv,-0.48101267,0.34902453,0.23360334,-0.3086284,0.035818543,-0.04692345,0.18057902
Rdv,-0.43037975,0.34505042,0.23413546,-0.2625402,0.056060653,-0.048563413,0.1830629
Rdv,-0.37974682,0.34109342,0.23457819,-0.21731955,0.07078205,-0.050190315,0.18366256
Rdv,-0.32911393,0.33724532,0.23487122,-0.17287377,0.08008959,-0.05174909,0.182914
Rdv,-0.278481,0.3335785,0.23497634,-0.12907887,0.084493645,-0.053200625,0.18138269
Rdv,-0.2278481,0.33014798,0.23487903,-0.08580335,0.084762976,-0.054520592,0.17958684
Rdv,-0.17721519,0.32698083,0.23458414,-0.042919382,0.08188398,-0.05569101,0.17798045
Rdv,-0.12658228,0.32409462,0.23411398,-0.00034474954,0.076787755,-0.05670695,0.17684259
Rdv,-0.07594936,0.321489,0.23350316,0.041964497,0.070381515,-0.057564434,0.17632963
Rdv,-0.025316456,0.3191573,0.23279282,0.08399914,0.06340703,-0.058263488,0.17649062
Rdv,0.025316456,0.31708935,0.23202589,0.12570204,0.056449436,-0.058805905,0.17727028
Rdv,0.07594936,0.31526622,0.23124331,0.16698903,0.049956,-0.059190843,0.1785993
Rdv,0.12658228,0.31367964,0.2304806,0.20773499,0.044171177,-0.05942511,0.18032642
Rdv,0.17721519,0.31230763,0.22976658,0.24781702,0.03926744,-0.059511624,0.18235864
Rdv,0.2278481,0.31113884,0.22912093,0.28710103,0.035288613,-0.05945977,0.18457367
Rdv,0.278481,0.31015775,0.22855659,0.32546076,0.032221016,-0.059278794,0.18687256
Rdv,0.32911393,0.3093512,0.22807963,0.3627841,0.030000184,-0.058981366,0.18919364
Rdv,0.37974682,0.3087053,0.22769016,0.39898387,0.028552264,-0.058578685,0.19149067
Rdv,0.43037975,0.30821192,0.22738478,0.43397,0.02775847,-0.05808763,0.19370057
Rdv,0.48101267,0.3078558,0.2271569,0.46769407,0.027529469,-0.057520278,0.19582874
Rdv,0.5316456,0.3076328,0.22699858,0.50010866,0.027758868,-0.05689225,0.19783512
Rdv,0.5822785,0.3075295,0.2269008,0.53119534,0.028366055,-0.056214713,0.199735
Rdv,0.6329114,0.30754414,0.2268552,0.5609336,0.029256947,-0.055502437,0.20151414
