source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Cdv,re_encoded_Rav
Rdv,0.48291138,0.80543655,0.672003,0.47346744,0.4984867,0.50386137
Rdv,0.4943038,0.80466115,0.6718424,0.4866725,0.4993697,0.49934366
Rdv,0.5056962,0.80273044,0.67169046,0.5008502,0.500395,0.49549106
Rdv,0.5170886,0.8006478,0.67172104,0.51410323,0.5006712,0.49420187
Rdv,0.528481,0.7984935,0.6718421,0.526657,0.5006753,0.4933029
Rdv,0.5398734,0.79638696,0.67200357,0.5392566,0.5008073,0.49221566
Rdv,0.55126584,0.79468364,0.6721427,0.5528878,0.50171083,0.49036515
Rdv,0.56265825,0.7934239,0.6724359,0.5686337,0.50297654,0.48828667
Rdv,0.5740506,0.79317385,0.6728106,0.5831571,0.5037101,0.48963225
Rdv,0.585443,0.792913,0.67343175,0.5974043,0.5041581,0.49204883
Rdv,0.59683543,0.79316425,0.6736817,0.61336184,0.504611,0.49382678
Rdv,0.60822785,0.79364514,0.6735351,0.62966204,0.5047152,0.49563205
Rdv,0.61962026,0.7939346,0.67348903,0.6410486,0.5048932,0.49545547
Rdv,0.6310127,0.794423,0.6731294,0.6503316,0.5046536,0.4940598
Rdv,0.6424051,0.79499984,0.6727248,0.65934294,0.50424933,0.49336413
Rdv,0.65379745,0.7957492,0.67228943,0.6679895,0.50321466,0.49228886
Rdv,0.66518986,0.79643977,0.6718282,0.67658776,0.5021593,0.4912114
Rdv,0.6765823,0.79707724,0.6713562,0.68506205,0.5010819,0.49020594
Rdv,0.6879747,0.79775107,0.6708555,0.69382703,0.5000305,0.4893195
Rdv,0.6993671,0.7986968,0.6706516,0.705221,0.49936816,0.4891493
Rdv,0.7107595,0.7994505,0.670661,0.71602035,0.49889678,0.48831272
Rdv,0.7221519,0.7999858,0.67076874,0.7265151,0.49887827,0.48777863
Rdv,0.7335443,0.8004004,0.6708562,0.7367648,0.4991004,0.48746297
Rdv,0.7449367,0.8007431,0.67092115,0.74675834,0.49906784,0.48728627
Rdv,0.7563291,0.8010416,0.67099965,0.75609106,0.49897525,0.48712137
Rdv,0.76772153,0.8012446,0.67114526,0.7644258,0.49854857,0.48690242
Rdv,0.77911395,0.8013721,0.67143464,0.77236545,0.49809653,0.486312
Rdv,0.7905063,0.8012732,0.6717118,0.78058547,0.49799535,0.48521498
Rdv,0.8018987,0.8003698,0.6719813,0.7919302,0.49800634,0.4844176
Rdv,0.81329113,0.79925615,0.67221195,0.8034245,0.49789402,0.48382008
Rdv,0.82468355,0.7981078,0.6724114,0.8143266,0.49777514,0.48319784
Rdv,0.83607596,0.79684675,0.6725907,0.8245333,0.49763027,0.48298916
Rdv,0.8474684,0.795338,0.6727462,0.833852,0.4974516,0.48407805
Rdv,0.85886073,0.7934857,0.6728415,0.8426191,0.49739486,0.48518556
Rdv,0.87025315,0.79121345,0.67289835,0.8537768,0.49742436,0.48590627
Rdv,0.88164556,0.78893685,0.67303985,0.86938345,0.49752536,0.48620954
Rdv,0.893038,0.78648263,0.6731512,0.8836896,0.4976523,0.4862619
Rdv,0.9044304,0.7847189,0.67322457,0.8978916,0.49793953,0.48632917
Rdv,0.9158228,0.78291196,0.67326874,0.9104577,0.49822804,0.4863867
Rdv,0.9272152,0.78085566,0.67323786,0.921505,0.49848956,0.48616174
Rdv,0.9386076,0.778694,0.67310226,0.9310449,0.49872473,0.4856452
Rdv,0.95,0.7771769,0.67282057,0.9395028,0.49907795,0.48494467
