sv_index,enc_L0,enc_L3,enc_L6,enc_L9,enc_fc_mu,enc_fc_logvar,dec_L0,dec_L2,dec_L4,dec_L6,dec_L8
125,,0.010813147,0.0005738714,2.7069402e-06,,,,1.6669532e-16,4.370339e-11,1.8091235e-16,
126,,0.008458476,0.0003840998,1.5765755e-06,,,,1.6669532e-16,3.5299152e-11,1.8091235e-16,
127,,0.004736237,0.00029398696,9.2344e-07,,,,1.6669532e-16,2.5489147e-11,1.5566748e-16,
128,,,0.00022011295,,,,,,2.1057062e-11,,
129,,,0.0001780008,,,,,,1.4412538e-11,,
130,,,0.0001376235,,,,,,1.2448168e-11,,
131,,,9.068184e-05,,,,,,1.1586471e-11,,
132,,,8.069392e-05,,,,,,1.0221809e-11,,
133,,,7.760349e-05,,,,,,8.701414e-12,,
134,,,3.7800313e-05,,,,,,7.064958e-12,,
135,,,3.096723e-05,,,,,,5.4259414e-12,,
136,,,2.1341935e-05,,,,,,3.5723093e-12,,
137,,,1.6814953e-05,,,,,,3.4614015e-12,,
138,,,1.4820807e-05,,,,,,1.6450953e-12,,
139,,,1.2358619e-05,,,,,,1.3702038e-12,,
140,,,9.721979e-06,,,,,,6.7296483e-13,,
141,,,8.092739e-06,,,,,,5.4462993e-13,,
142,,,7.881588e-06,,,,,,3.2622809e-13,,
143,,,6.517332e-06,,,,,,2.2266036e-13,,
144,,,5.0466037e-06,,,,,,2.0865167e-13,,
145,,,4.5411284e-06,,,,,,1.4892819e-13,,
146,,,4.0542677e-06,,,,,,1.0254493e-13,,
147,,,3.2919042e-06,,,,,,7.860941e-14,,
148,,,2.968727e-06,,,,,,5.1347066e-14,,
149,,,2.6129405e-06,,,,,,4.844519e-14,,
150,,,2.5094876e-06,,,,,,3.58485e-14,,
151,,,2.2728434e-06,,,,,,2.6581075e-14,,
152,,,1.9160286e-06,,,,,,2.2508987e-14,,
153,,,1.875648e-06,,,,,,1.937241e-14,,
154,,,1.7029781e-06,,,,,,1.6537971e-14,,
155,,,1.3860721e-06,,,,,,1.254674e-14,,
156,,,1.3278053e-06,,,,,,1.1957234e-14,,
157,,,1.2800465e-06,,,,,,1.07212086e-14,,
158,,,1.1320504e-06,,,,,,1.0106214e-14,,
159,,,1.0455037e-06,,,,,,7.3519216e-15,,
160,,,8.999893e-07,,,,,,6.1021384e-15,,
161,,,8.121969e-07,,,,,,4.896915e-15,,
162,,,7.4887686e-07,,,,,,4.310067e-15,,
163,,,6.7276113e-07,,,,,,4.016017e-15,,
164,,,6.5648567e-07,,,,,,3.698548e-15,,
165,,,5.7921886e-07,,,,,,3.5076852e-15,,
166,,,5.410643e-07,,,,,,3.1431887e-15,,
167,,,5.206887e-07,,,,,,2.6381256e-15,,
168,,,4.6190462e-07,,,,,,2.4307019e-15,,
169,,,4.2595278e-07,,,,,,1.9897333e-15,,
170,,,4.104503e-07,,,,,,1.5587988e-15,,
171,,,3.867012e-07,,,,,,1.0651432e-15,,
172,,,3.4129766e-07,,,,,,9.889758e-16,,
173,,,3.2788554e-07,,,,,,8.6948827e-16,,
174,,,2.9332344e-07,,,,,,7.0796867e-16,,
175,,,2.791353e-07,,,,,,6.7917754e-16,,
176,,,2.579342e-07,,,,,,4.9672516e-16,,
177,,,2.4239992e-07,,,,,,4.470704e-16,,
178,,,2.1862974e-07,,,,,,4.2403848e-16,,
179,,,2.0376112e-07,,,,,,3.8350213e-16,,
180,,,1.8877266e-07,,,,,,3.312312e-16,,
181,,,1.8198676e-07,,,,,,2.701552e-16,,
182,,,1.6213572e-07,,,,,,2.7004422e-16,,
183,,,1.5174375e-07,,,,,,2.5900708e-16,,
184,,,1.3986622e-07,,,,,,2.2792661e-16,,
185,,,1.3421676e-07,,,,,,1.9147979e-16,,
186,,,1.180491e-07,,,,,,1.4220455e-16,,
187,,,1.1389569e-07,,,,,,1.4220455e-16,,
188,,,1.12370834e-07,,,,,,1.4220455e-16,,
