sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
257,39.19405529953917,62.214863,339.53894,61.305553,322.8463,428.7096584999868,1911.8724632799483,455.60626341388866,1948.656485752212
257,39.2941935483871,61.91565,338.70178,61.011883,322.05197,426.72411262468285,1907.4284673345715,453.4642191770246,1944.1822725653035
257,39.394331797235026,61.618584,337.86838,60.720413,321.26114,424.75279524189426,1903.0040031660644,451.33740312215537,1939.727318632181
257,39.49447004608295,61.323727,337.0388,60.430973,320.47397,422.79557290474685,1898.5989508401017,449.22567388095354,1935.2915097455348
257,39.59460829493088,61.03097,336.21307,60.143715,319.69025,420.85231370050093,1894.213191307334,447.12889168956144,1930.874732487917
257,39.694746543778805,60.740437,335.39087,59.85848,318.9101,418.92288722982727,1889.846606396645,445.0469183672617,1926.4768742266276
257,39.794884792626725,60.451893,334.57245,59.575294,318.13336,417.0071645864052,1885.4990788084485,442.9796172954703,1922.0978231085996
257,39.89502304147465,60.165512,333.75772,59.294186,317.36008,415.105018336831,1881.170492108014,440.9268533970446,1917.7374680552937
257,39.99516129032258,59.8812,332.9466,59.01509,316.59027,413.21632250083815,1876.8607307188352,438.8884931159048,1913.3956987575957
257,40.095299539170504,59.598877,332.13922,58.73797,315.82385,411.3409525318165,1872.5696799160241,436.86440439695923,1909.0724056707247
257,40.19543778801843,59.318703,331.33527,58.462887,315.0608,409.4787852976327,1868.297225819748,434.8544566663323,1904.7674800091484
257,40.29557603686636,59.040424,330.53503,58.18968,314.3012,407.6296990617422,1864.0432553887033,432.85852081188784,1900.480813741508
257,40.395714285714284,58.764126,329.73834,57.91841,313.54492,405.7935734645875,1859.8076564136197,430.87646916404344,1896.2122995855548
257,40.49585253456221,58.489864,328.9451,57.649147,312.7919,403.9702895052814,1855.590317510808,428.90817547686987,1891.961831003094
257,40.59599078341014,58.217545,328.1554,57.381744,312.04224,402.15972952356725,1851.3911281157407,426.95351490947604,1887.729302194949
257,40.696129032258064,57.94719,327.3692,57.11627,311.29578,400.36177718205323,1847.2099784766772,425.0123640076652,1883.51460809593
257,40.79626728110599,57.678696,326.58655,56.85261,310.5527,398.5763174487136,1843.0467596483168,423.08460068586726,1879.3176443698203
257,40.89640552995392,57.412113,325.8072,56.59083,309.81277,396.80323657965715,1838.9013634854998,421.1701042093391,1875.1383074043804
257,40.99654377880184,57.147453,325.0313,56.33092,309.07605,395.04242210215233,1834.7736826369419,419.2687551766246,1870.9764943063599
257,41.09668202764977,56.88459,324.25888,56.07274,308.34262,393.29376279790966,1830.663610539009,417.38043550227854,1866.8321028965324
257,41.1968202764977,56.623642,323.48978,55.816486,307.6123,391.55714868661494,1826.571041409532,415.505028399842,1862.705031704744
257,41.29695852534562,56.36453,322.72403,55.561977,306.88513,389.832471009709,1822.495870241661,413.64241836506943,1858.595179964979
257,41.39709677419355,56.107227,321.9616,55.309235,306.16113,388.11962221441024,1818.437992797754,411.79249115940223,1854.5024476104422
257,41.497235023041476,55.85163,321.2025,55.05819,305.44025,386.41849593797605,1814.3973056033155,409.95513379368566,1850.426735268667
257,41.5973732718894,55.597958,320.44672,54.808952,304.7224,384.72898699219905,1810.3737059409636,408.13023451212206,1846.3679442566288
257,41.69751152073733,55.345932,319.6942,54.561394,304.00778,383.05099134813366,1806.367091844444,406.31768277646194,1842.3259765758937
257,41.797649769585256,55.09572,318.94492,54.315567,303.29614,381.3844061210507,1802.3773620926854,404.5173692504227,1838.3007349077748
257,41.89778801843318,54.847145,318.19885,54.071392,302.58743,379.7291295556141,1798.404416203888,402.7291857843375,1834.292122608516
257,41.99792626728111,54.60036,317.456,53.828915,301.8819,378.085061011277,1794.4481544296575,400.9530254000247,1830.300043704494
257,42.098064516129035,54.355362,316.71634,53.58815,301.1793,376.4521009478955,1790.5084777491793,399.18878227587965,1826.3244028874421
257,42.19820276497696,54.11196,315.9798,53.348976,300.47964,374.83015091155227,1786.5852878634305,397.43635173218087,1822.3651055096964
257,42.29834101382489,53.870243,315.2465,53.111526,299.78302,373.2191135205914,1782.678487189436,395.6956302166096,1818.4220575794627
257,42.39847926267281,53.63018,314.51627,52.875565,299.08936,371.6188924518561,1778.787978854558,393.9665152899796,1814.4951657561087
257,42.498617511520735,53.391747,313.78912,52.641262,298.39856,370.02939242713114,1774.9136666908373,392.2489056121718,1810.5843373454766
257,42.59875576036866,53.154934,313.06512,52.40851,297.7107,368.4505191997813,1771.0554552293613,390.54270092827136,1806.6894802952177
257,42.69889400921659,52.919758,312.3442,52.177418,297.02576,366.88217954158756,1767.2132496946845,388.8478020549059,1802.810503190156
257,42.799032258064514,52.686207,311.62628,51.947803,296.34363,365.3242812297745,1763.3869559992834,387.16411086677726,1798.9473152476685
257,42.89917050691244,52.454174,310.91138,51.71976,295.6644,363.77673303422534,1759.5764807380476,385.49153028338986,1795.0998263130962
257,42.99930875576037,52.223774,310.1995,51.49332,294.98798,362.23944470488635,1755.7817311828246,383.82996425596525,1791.2679468551746
257,43.099447004608294,51.994877,309.4907,51.268345,294.31442,360.7123269593511,1752.0026152769876,382.17931775454616,1787.4515879614896
257,43.19958525345622,51.7675,308.78476,51.044807,293.6436,359.19529147062667,1748.2390416300582,380.53949675528463,1783.6506613339625
257,43.29972350230415,51.54173,308.08182,50.822887,292.97565,357.68825085507575,1744.4909195123605,378.91040822790836,1779.865079284351
257,43.39986175115207,51.317436,307.3818,50.602333,292.3104,356.19111866053413,1740.7581588497192,377.29196012336934,1776.0947547297867
257,43.5,51.09469,306.68472,50.383335,291.6479,354.70380935459747,1737.0406702181913,375.6840613616654,1772.33960118833
1297,0.04,3885.8254,44.419838,3530.2236,35.883965,16846.022510744857,1134.3713407007697,16474.759578048517,1119.6724736395788
